userID, animalID, rate
0,1463,3
0,490,4
0,22,2
0,580,4
0,237,2
0,178,4
0,1287,1
0,1368,4
0,1015,1
0,1355,3
0,1045,4
0,34,4
0,1531,2
0,949,4
0,945,1
0,364,4
0,179,5
0,1004,3
0,56,5
0,1073,2
0,1054,5
0,526,4
0,1317,5
0,499,2
0,900,4
0,383,4
0,128,2
0,1058,2
0,887,3
0,236,1
0,1337,5
0,926,2
0,717,5
0,977,3
0,88,2
0,1302,4
0,1656,2
0,48,2
0,1042,3
0,339,2
0,1300,3
0,1681,1
0,675,3
0,1283,2
0,423,4
0,1693,5
0,947,2
0,35,1
0,157,1
0,1152,5
0,1462,2
0,843,4
0,292,4
0,1483,2
0,30,2
0,453,1
0,804,3
0,1529,5
0,344,4
0,994,2
0,293,5
0,630,1
0,318,3
0,1541,5
0,92,3
0,1104,3
0,1544,2
0,896,2
0,649,3
0,652,2
0,773,2
0,674,4
0,1700,1
0,1362,1
0,1662,3
0,869,1
0,1514,1
0,1354,3
0,966,1
0,664,2
0,218,4
0,1146,4
0,191,2
0,635,5
0,1086,2
0,1294,1
0,1190,3
0,1422,5
0,117,1
0,17,4
0,1460,2
0,267,2
0,553,5
0,399,1
0,1567,4
0,1588,5
0,211,3
0,1177,5
0,613,4
0,1226,5
0,1530,5
1,992,5
1,177,1
1,213,2
1,1471,5
1,1185,2
1,1021,1
1,799,5
1,1353,3
1,1483,1
1,153,3
1,724,4
1,482,2
1,6,4
1,1496,3
1,1039,4
1,90,1
1,535,5
1,450,2
1,921,2
1,68,5
1,1650,2
1,634,3
1,1006,1
1,964,1
1,469,4
1,1037,5
1,1151,5
1,1101,5
1,74,1
1,63,4
1,1694,5
1,1555,3
1,593,5
1,413,3
1,372,3
1,959,5
1,884,1
1,932,2
1,380,2
1,746,3
1,1058,1
1,446,4
1,609,5
1,1176,2
1,1235,5
1,1571,4
1,1668,2
1,373,2
1,1427,2
1,62,3
1,1315,1
1,772,3
1,620,5
1,1632,3
1,1360,2
1,310,5
1,1404,2
1,1038,3
1,1645,5
1,1293,3
1,1502,1
1,1400,3
1,714,3
1,703,4
1,668,3
1,1222,2
1,431,3
1,786,5
1,480,3
1,1288,2
1,1406,1
1,1349,4
1,1033,4
1,36,4
1,1159,4
1,1596,1
1,954,5
1,1187,2
1,1152,2
1,969,3
1,1294,1
1,1434,1
1,1052,2
1,504,3
1,624,4
1,275,4
1,1545,1
1,552,4
1,508,4
1,1647,5
1,144,2
1,1203,1
1,273,5
1,1561,2
1,610,4
1,1070,1
1,594,4
1,1180,2
1,1444,4
1,778,1
1,429,2
1,473,4
1,625,5
1,1382,5
2,332,3
2,306,3
2,914,2
2,923,3
2,1679,4
2,489,4
2,121,2
2,11,3
2,1016,3
2,1341,1
2,429,1
2,120,3
2,598,2
2,382,1
2,288,3
2,1170,3
2,1095,3
2,313,4
2,1476,1
2,1235,1
2,1441,1
2,424,1
2,959,1
2,927,3
2,1579,1
2,1673,4
2,1511,3
2,905,2
2,348,3
2,1422,1
2,1028,5
2,296,3
2,441,3
2,978,4
2,1667,1
2,29,4
2,106,1
2,1405,5
2,1567,5
2,253,1
2,275,4
2,276,3
2,1370,2
2,735,3
2,1685,4
2,493,4
2,215,1
2,349,5
2,577,2
2,423,4
2,519,3
2,1004,4
2,393,5
2,778,2
2,1371,1
2,403,3
2,1187,2
2,248,2
2,1480,5
2,1647,5
2,1088,3
2,376,5
2,1127,3
2,467,2
2,444,5
2,2,3
2,594,1
2,792,3
2,681,3
2,1013,3
2,1617,4
2,1232,2
2,1194,3
2,1408,5
2,438,2
2,1355,2
2,225,2
2,132,5
2,484,1
2,446,5
2,736,3
2,1091,5
2,362,3
2,1263,2
2,1055,2
2,1305,2
2,405,3
2,1093,1
2,1144,3
2,1580,1
2,589,4
2,1413,2
2,1131,5
2,1156,1
2,1509,4
2,236,2
2,1613,2
2,170,5
2,4,4
2,1221,2
2,841,2
2,856,5
2,591,5
2,1108,1
2,46,4
2,369,1
2,880,4
2,1253,5
2,1257,4
3,1076,1
3,108,3
3,1127,3
3,695,5
3,833,3
3,822,3
3,1165,1
3,1579,3
3,680,4
3,3,2
3,1669,5
3,1617,3
3,572,3
3,1130,3
3,1478,4
3,627,4
3,811,1
3,196,3
3,1378,1
3,612,1
3,903,2
3,1497,4
3,1086,4
3,537,5
3,182,5
3,904,4
3,716,2
3,782,4
3,930,3
3,1331,5
3,456,1
3,1351,2
3,1137,4
3,377,5
3,974,4
3,1203,4
3,480,1
3,173,4
3,533,4
3,1566,2
3,496,2
3,135,1
3,516,5
3,1248,1
3,499,1
3,199,3
3,1306,3
3,1504,5
3,1550,5
3,747,3
3,817,1
3,1312,5
3,584,2
3,1266,2
3,1280,1
3,1247,4
3,1197,5
3,995,3
3,489,5
3,760,4
3,1224,3
3,52,2
3,101,2
3,528,3
3,763,1
3,1319,5
3,971,1
3,778,4
3,1090,3
3,928,5
3,22,5
3,1322,5
3,599,3
3,786,3
3,130,1
3,950,1
3,237,1
3,245,5
3,1389,1
3,937,5
3,484,2
3,1610,2
3,641,5
3,538,1
3,1483,3
3,791,5
3,1405,5
3,773,5
3,1100,4
3,107,2
3,956,2
3,413,1
3,1455,3
3,523,5
3,212,2
4,1340,2
4,679,4
4,695,2
4,246,2
4,547,5
4,154,5
4,341,4
4,58,3
4,99,4
4,175,4
4,563,5
4,1644,3
4,163,4
4,1114,5
4,1494,4
4,1164,1
4,1612,1
4,1141,4
4,1145,3
4,1452,1
4,877,3
4,213,2
4,1640,2
4,567,3
4,790,2
4,1079,2
4,1468,4
4,1650,4
4,609,4
4,1143,4
4,641,2
4,1535,1
4,760,4
4,1184,3
4,754,1
4,160,5
4,657,2
4,256,2
4,4,2
4,1375,5
4,1276,2
4,1416,5
4,1552,2
4,647,2
4,736,3
4,1377,2
4,1309,5
4,707,4
4,665,3
4,586,2
4,1197,3
4,1200,3
4,797,1
4,892,1
4,456,4
4,1332,4
4,1218,5
4,583,1
4,562,1
4,449,5
4,1426,2
4,1618,5
4,1017,2
4,1124,5
4,294,5
4,519,3
4,105,2
4,1195,3
4,496,1
4,1341,3
4,1382,5
4,1129,5
4,1627,4
4,1278,5
4,1115,5
4,987,1
4,95,1
4,1504,3
4,937,4
4,1013,2
4,676,5
