userID, age, breed, sex, color
0,1,말티푸,M,흰색
1,1,노르웨이 숲,M,검정
2,5,퍼그,M,갈색
3,5,백한,M,검정
4,2,러시안 블루,M,회색
5,6,페르시안-페르시안 친칠라,M,갈색
6,5,혼합,M,검정
7,5,화이트리트리버,M,검정
8,6,미텔 스피츠,F,흰색
9,1,치와와,M,흰색
10,1,잭 러셀 테리어,M,검정
11,4,폼피츠,F,갈색
12,6,저먼 셰퍼드 독,F,검정
13,2,오골계,M,회색
14,6,퍼그,F,갈색
15,6,기니피그,M,회색
16,5,차우차우,M,회색
17,3,품종묘믹스,F,흰색
18,6,브리타니 스파니엘,F,노랑
19,5,도베르만,F,검정
20,2,라브라도 리트리버,F,노랑
21,2,슈나우져,M,흰색
22,4,스코티시 폴드,M,노랑
23,2,먼치킨,M,흰색
24,6,스핑크스,M,노랑
25,5,잉글리쉬 세터,M,노랑
26,3,거북이,F,검정
27,4,푸들,M,검정
28,5,풍산견,F,노랑
29,4,요크셔테리어 믹스,F,갈색
30,6,먼치킨,M,흰색
31,1,노르웨이 숲,M,노랑
32,2,믹스견,F,흰색
33,6,햄스터,F,노랑
34,6,믹스견,M,검정
35,2,저먼 포인터,M,노랑
36,2,스핑크스,M,검정
37,3,저먼 셰퍼드 독,F,흰색
38,2,라브라도 리트리버,F,갈색
39,6,브리타니 스파니엘,M,회색
40,2,아메리칸 쇼트헤어,M,흰색
41,4,한국 고양이,F,검정
42,4,멘체스터테리어,F,회색
43,5,노르웨이 숲,M,흰색
44,4,포메라니안,M,회색
45,1,웰시 코기 펨브로크,M,노랑
46,2,미텔 스피츠,F,검정
47,3,슈나우져,F,노랑
48,2,치와와,M,검정
49,2,퍼그,F,회색
50,1,미텔 스피츠,F,흰색
51,1,토끼,F,흰색
52,4,요크셔테리어 믹스,F,노랑
53,6,베들링턴 테리어,M,흰색
54,5,시베리안 허스키,M,회색
55,6, 요크셔 테리어,M,검정
56,2,백한,M,갈색
57,1,슈나우저-진도개 믹스,M,회색
58,5,브리타니 스파니엘,M,갈색
59,5,셰퍼드,M,검정
60,4,포메라니안,F,검정
61,5,스피츠,M,흰색
62,3,발바리,M,회색
63,5,아키다,F,검정
64,1,길고양이,F,검정
65,4,웰시 코기 펨브로크,M,회색
66,3,라브라도 리트리버,M,흰색
67,1,보어염소,M,회색
68,5,시바,M,흰색
69,3,햄스터,M,흰색
70,4,불독,F,갈색
